,,Order,,,,,Neutral,,,,,Chaos
,,,Final Empire in Cannor,Fires of Conviction in Cannor,Forbidden Valley in Cannor,Scions of Sarhal in Cannor,,,,,,
,,Empire (5),4,3,2,1,0,-1,-2,-3,-4,-5
Good,5,,,,,,,,,,"Salla Fealgarn: “As a girl, I wanted to be just like those heroes in the books... Someone who fought for what was right, and protected people who couldn't protect themselves!” - Rúíbi, Huntress of Auralarn Academy",
,4,"Grand Republic of Azkare, the Sunrise Empire",,,,,"Exwes: Become a naval power with a focus on marines, take on the halfling cause, and lead the Silcalas dynasty.","Verne (Rework): From Cannor to Haless, from Eoardand to Taychend, from Ardimya to Ekha - embark on daring adventures, discover forgotten secrets and bring fame back to Verne. Don’t forget to spread light, or else you might get your mustachio permit revoked!","Wineport (Revamp): The Return of a Classic Flavor. Unite the Winesbay Accord and fill up your collection of wines, now including exotic tastes from far away lands. Try out a modernized experience from classic Anbennar.",,"Salla Ayeth: “My mother lies dead. My father is but a shade of his former self. I shall take my bow and arrow and cleanse the Deepwoods, with or without the Pact. Trowch i’r Ayeth.” - Elaria Ayeth",
,3,Castanor,"Vængheim: Unite the peoples of Gerudia and stand as their Guardian, hunt great beasts and monsters magic and mundane, confront the dragon Elkaesal in her very lair.","Istralore: Avenge Dameria’s demise and take her place as the rightful custodian of the Empire, bringing justice for all in Corin's name.",,"Farraneán: The last old Chivalric Escann, take this half-elf realm and forge a new destiny for the Forlorn Vale and Western Castanor as you mend bridges with an old rival and build an enlightened realm where all things are in harmony.",Celmaldor: From a cold corner of Cannor rises the richest and most diplomatically powerful trade league the world will ever know.,,,,"Salla Cenág: “To my clan, to my kith and kin across Ayeth and Drennen, to you Hara, my love, I swear to fight and defend to my last breath. Life is not given, it is earned. Yfel Cenág!” - Alara Cenág",
,2,Aul-Dwarov,Ravelian State: Search for the truth and spread the one true faith by word and artificery,,,"Moonhaven (Rework): Updated mission tree, tons of quality of life, new mission rewards for colonising Aelantir and a fully new Sarhal branch. New Ravelian missions.","Pashainé: Pashainé’s journey begins with the bold ambition to unite the divided voices along the Purple River and claim its place at the heart of imperial politics. As the dark clouds of betrayal arrive and old powers tighten their grip, sparks of something far more explosive begin to kindle in the barrel of Blackpowder.","Luna River Minors: As the ambitious Luna River Minors (compassionate Bellacaire, noble Bluehart, adventurous Menibór and enterprising Napesbay) weave a subtle web of influence in the Empire of Anbennar with your Sway. Their moves may seem small, but in the delicate balance of power, even the faintest current can tip the scales and lead them to the creation of Pashainé.",,,,
,1,"Empire of Anbennar. A flawed, burreaucratic superpower",The Gnomish Hierarchy,,,Saloren: Reunite the Roilsardi people as the last independent realm of that culture as a young hopeful ruler.,,,,,"Roilsard (Revamp): Sail across the seas of Uelos to Sarhal, create new settlements for your people and get rich from the spice trade. Reunite the childrens of the thorns in the eastern homeland and create a Lencori revival in The Borders.",
Neutral,0,"Jadd Empire (Elf, Human, Gnoll, Gold Dwarf)",The Magisterium,,"Giberd (Rework): Create an artificer elector that unites the Esmari people under Ravelianism and betters their lives with technology, making a hierarchy that will go down in history!","Woodwell: Race against the clock to turn the estates to your side, conquer your core land, and raise your future ruler to greatness.","Stalbór (Stalwart Band formable): Forgive, rebuild, and share your vision of an equal world to all ",,,,,"Cannorian Kobolds / Kobildzan (Rework): Why you no take candle? For too long, kobolds have been rejected by the dragons. Now, you find them; then, you become them!  "
,-1,Dhenijanraj,,"Orda Aldresia: Stabilize your infighting order, rebuild your collapsing ancestral castles, take revenge on the deviously politicking Magisterium, and go on to fight a King of Blood and Darkness","Gisden: From humble beginnings, battle your neighbours to become the true lord of The Borders, whether in the name of the Salt Lion of Arannen… Or something much, much older…",,"Covenblad: Formed out of the Sword Covenant, see how far you fall as the realities of being a country crash headlong into former promises made.","Landshark: Expelled from the mountains to the sea, returns with the wrath of the ocean!",,,,
,-2,The Command,,,,"Karakhanbar: The Emeraldtide was rough but from the ashes of internal orcish strife rise orcs unbreakable like metal. Wield Fires of the Black Hearth as you wage war against the Fey of the Deepwoods and the forest itself. But beware - the Prince was only defeated, not killed.","Sapchopper Clan: Play as Khagor Sapchopper, orcish raider turned chieftain. Crush your foes. Make the Deepwoods yours. Uncover the Truth.",,"Orda Aldresia (Ravelian Extension): Continue the MT in the aftermath of the Umbral King’s defeat as the Empire assails your lawless but heroic crusade. Disgraced once again, this time Orda Aldresia refuses to stay subservient with the rise of their new grandmaster. Emil, The Second Son, rejects the Empire’s condemnation, believing the slothful first born sons and daughters do not deserve the golden thrones they sit upon. Follow Emil in his path to taking the Dove Throne by force backed by the words of God. But be warned, this greedy descent may spur a rebuke from heroes…and heroine, of legend.","Toarnaire: with subterfuges and blood magic, Toarnaire will live up to the name “City of Envy” ","Xanzerbexis: A campaign as difficult as the position suggests. Enjoy a change of pace for gnolls, demonsterising and building rather than destroying. Farm wyverns, create Jhazz music, craft inventions and more.",
,-3,"Unguldavor (Rework): Play as any Inner Castanor orc and unite the region. Use alchemy to keep up to date with the tech and army. Wrangle the clans while centralizing control. Integrate orcs into Escann and prove yourself not only a modern orcish state, but also a successor to Castellyr. Fulfill Arosha’s dream.","Silentblade: First Chosen of the Blackened Prince, blessed with His favor. Subsume the orcish clans, shackle the goblins, and crush the elves. Only then may true vengeance begin.","Clouded Eye: Take control of the most successful orc clan under the leadership of Arosha Oakbreaker, a member of Corin’s Circle, and civilize the orcs",,,"Cursed Howl: In the Flower Grove of the Deepwoods, take this Orcish clan and see what their just chief can do to maintain orcish honour when so many of their compatriots choose cruelty.",,,,,
,-4,Luciande: For Strahd fans and vampire deep lore enjoyers,"Urviksten/Ebonmarck (Rework): Force the north to bend the knee, rediscover a legendary metal, and reclaim what the Sorcerer-King stole: the birthright to Black Castanor. ","Frozenmaw: Follow the dynasty of the cunning Brasûr as he tries to wedge open the lands of old Vrorenmarch to create a home for Gray Orcs in the north, and tries to fill in the cracks left behind. Embark on a perilous journey with Droga Seabreaker as she takes to the frigid seas to rescue her husband from thralldom. This rework focuses on character-driven stories and nation-building over pure conquest.","Rósande (Order of the Ashen Rose formable): Establish an illustrious aristocracy of Lencori outcasts, bring the orcs to heel and shackle them to your will. Explore the legacy of the old kingdoms and establish yourself as their true heir, as your slaves get ever more unruly...",,"Count's League (Rework) - Face the debts of dark dealings head on, as the curse of a hag plagues your land even as you restore lost Castellyr.",,,"Broken Jaw: Gavin vengeance from Frozenmaw, and with the help of the trolls claim and tame the lands that were promised by the Brasûr the Betrayer.",Brambleskinner: Fight the Fey with fire and a lot of blackpowder. Celebrate your capitalist ascension with nice fireworks!,
Evil,-5,Black Demesne,"Themarenn: Explore the inner workings of the Fourth Lilac War, build Canals, Palaces, and in-land Impressment Offices. Out the infernal court and clear them out of Esmaria, restore the duchy of Cann Esmar and become the one true King of the River!","Wyvernheart (Brave Brothers formable): Enforce your vision on Escann, harness the power of the Crimson Deluge, create the infamous Burnblood mutants and rise as Witch-King.",,,,,,,,
